date,precipitation_sum,rain_sum,temp_max,temp_min,wind_speed_max,shortwave_radiation_sum,sunshine_duration,sunshine_hours
2025-12-09,4.2999997,4.2999997,3.95,0.7,15.986593,1.36,572.8903,0.1591362
2025-12-10,0.4,0.4,8.15,3.95,13.339445,2.25,7940.7905,2.2057753
2025-12-11,0.4,0.4,8.1,3.75,13.619471,1.0,0.0,0.0
2025-12-12,1.0000001,1.0000001,7.8,5.95,21.001457,1.04,0.0,0.0
2025-12-13,0.3,0.3,5.7,-2.8,22.871336,3.96,26595.154,7.3875427
2025-12-14,3.9,0.0,0.15,-2.6,11.453715,1.23,0.0,0.0
2025-12-15,1.6,1.1,3.7,-1.1,13.218668,1.67,0.0,0.0
2025-12-16,0.0,0.0,2.35,0.65,10.8672905,1.9,1206.0045,0.33500126
2025-12-17,0.0,0.0,3.0,0.6,12.440851,1.73,0.0,0.0
2025-12-18,0.0,0.0,4.85,0.15,11.442394,3.91,28056.611,7.7935033
2025-12-19,0.0,0.0,1.3,0.0,5.896202,1.21,0.0,0.0
2025-12-20,0.0,0.0,0.5,-0.7,7.814986,1.38,0.0,0.0
2025-12-21,0.6,0.50000006,1.2,-0.2,11.019764,0.77,0.0,0.0
2025-12-22,0.2,0.2,3.75,0.4,13.797912,1.34,0.0,0.0
2025-12-23,1.2,0.0,1.65,-2.8,13.861168,2.23,7076.334,1.9656483
2025-12-24,0.0,0.0,-4.05,-8.85,13.125196,3.74,21359.871,5.9332976
2025-12-25,0.0,0.0,-2.9,-10.85,16.459913,2.45,10128.008,2.8133354
2025-12-26,3.5999994,0.4,0.85,-5.8,22.034382,1.3,0.0,0.0
2025-12-27,2.0,0.49999997,0.9,0.15,21.419998,1.78,3307.0896,0.918636
2025-12-28,5.2,0.0,1.05,-0.95,26.107447,2.97,14363.73,3.9899251
2025-12-29,3.1000001,0.0,-0.25,-4.5,22.370024,3.03,7200.0,2.0
2025-12-30,1.5,0.0,-0.45,-5.35,20.964397,2.4,4781.4883,1.3281912
2025-12-31,2.1,0.0,-4.55,-7.1,19.080849,2.75,764.2425,0.21228959
2026-01-01,0.3,0.0,-6.3,-13.35,16.372087,3.62,14201.998,3.9449995
2026-01-02,3.0,0.099999994,0.05,-7.65,20.122196,2.12,0.0,0.0
2026-01-03,0.5,0.0,0.4,-3.25,16.90563,3.23,5359.214,1.4886705
2026-01-04,1.0,0.0,-1.15,-5.5,16.740967,4.36,21320.205,5.9222794
2026-01-05,0.0,0.0,-4.0,-8.7,13.709573,4.88,28537.475,7.9270763
2026-01-06,9.700001,1.8,-0.55,-5.6,20.799152,1.19,0.0,0.0
2026-01-07,1.7,1.1,-0.7,-2.25,12.673074,1.29,0.0,0.0
2026-01-08,16.1,12.3,1.15,-3.35,16.069473,1.68,0.0,0.0
2026-01-09,4.6999993,0.2,-2.05,-8.45,21.010712,1.6,0.0,0.0
2026-01-10,0.1,0.0,-8.6,-13.15,15.697197,4.55,19223.676,5.33991
2026-01-11,0.0,0.0,-10.9,-17.65,11.409785,4.24,16456.262,4.5711837
2026-01-12,0.0,0.0,-11.9,-15.15,9.531505,4.82,24482.713,6.8007536
2026-01-13,0.6,0.0,-10.6,-16.75,7.814986,4.75,17709.322,4.919256
2026-01-14,0.1,0.0,-10.55,-15.55,7.841887,3.25,267.30057,0.074250154
2026-01-15,0.0,0.0,-12.6,-18.15,9.016185,5.43,24330.998,6.7586107
